8758	Aperfeicoamento, Avaliacao e Desenvolvimento de Acaes e Servicos Especializados em Oncologia - INCa	INCA	2015
201914	Pesquisas, Ensino e Inovacaes Tecnolcgicas Biomcdicas e em Medicina Tropical e Meio Ambiente		2015
202317	Promocao, Protecao e Recuperacao da Sacde Indcgena		2065
202324	Fiscalizacao de Obrigacaes Trabalhistas e Inspecao em Seguranca e Sacde no Trabalho		2071
202335	Democratizacao das Relacaes de Trabalho		2071
4815	Funcionamento das Unidades Descentralizadas		2127
20223	Apoio Operacional ao Pagamento do Seguro-Desemprego e do Abono Salarial		2071
202326	Producao e Difusco de Conhecimentos para a Promocao de Polcticas Pcblicas em Seguranca e Sacde no Trabalho		2071
21143	Gestco Participativa do Fundo de Amparo ao Trabalhador - FAT		2071
2553	Identificacao da Populacao por meio da Carteira de Trabalho e Previdcncia Social - CTPS		2071
93521	Cumprimento de Obrigacaes decorrentes da extincao da Rede Ferrovicria Federal S/A - RFFSA		2126
202411	Estudos, Projetos e Planejamento de Infraestrutura de Transportes		2126
2348	Fiscalizacao da Exploracao da Infraestrutura Ferrovicria		2072
202413	Fiscalizacao dos Servicos de Transporte Rodovicrio		2075
4349	Administracao das Hidrovias		2126
86935	Manutencao e Gestco dos Ativos Ferrovicrios		2126
2424	Fiscalizacao em Telecomunicacaes		2025
202212	Regulacao dos Servicos de Telecomunicacaes		2025
202214	Promocao e Fomento c Cultura Brasileira		2027
202233	Formulacao e Gestco da Polctica Cultural		2027
14242	Implantacao, Instalacao e Modernizacao de Espacos e Equipamentos Culturais		2027
202234	Preservacao do Patrimcnio Cultural Brasileiro		2027
203523	Apoio c Implemetacao da Polctica Nacional de Educacao Ambiental		2045
20318	Implementacao do Plano Nacional de Producao e Consumo Sustentcveis (PPCS)		2050
202615	Desenvolvimento Florestal Sustentcvel e Manejo Florestal Comunitcrio Familiar		2036
202613	Pesquisa e Informacaes Florestais		2036
202612	Inventcrio Florestal Nacional		2036
202616	Fiscalizacao dos Recursos da Biodiversidade		2018
6307	Fiscalizacao de Atividades de Desmatamento		2036
6124	Fiscalizacao de Atividades Degradadoras, Poluentes e Contaminantes		2045
202633	Estruturacao da Gestco Nacional dos Recursos Fauncsticos		2018
6074	Prevencao e Combate a Inccndios Florestais e Controle de Queimadas		2036
8294	Estruturacao dos crgcos do Sistema Nacional de Meio Ambiente para a Gestco Florestal Compartilhada		2036
8296	Autorizacao e Controle das Atividades Florestais		2036
203131	Promocao de Acaes de Gestco de Riscos, Preparacao e Atendimento a Emergcncias Ambientais		2045
